Dataset,Algorithm,Type,Accuracy_Mean,Accuracy_Std,Precision_Mean,Recall_Mean,F1_Mean,Features_Mean,Features_Std,Execution_Time_Mean,Execution_Time_Std
parkinsons,PSO,BASE,0.888135593220339,0.03953187725318846,0.8897896852673799,0.888135593220339,0.8822972184120511,8.533333333333333,1.6275407487644937,578.2150069554647,40.970665424143455
parkinsons,BSO,BASE,0.887005649717514,0.039467229822763794,0.8885108721979583,0.887005649717514,0.8812101828680852,10.333333333333334,2.9135697844549546,572.2135409037272,42.274660713481275
parkinsons,HHO,BASE,0.8994350282485875,0.030612920190156087,0.9002149153476183,0.8994350282485875,0.894962653384458,11.466666666666667,2.4184476196289406,767.5494822820027,8.08419740612984
parkinsons,bABER,BASE,0.8971751412429377,0.0421879202318519,0.8965767115213576,0.8971751412429377,0.8919161859426141,11.0,2.581988897471611,859.2638504981994,16.310215945124696
parkinsons,PSO-bABER,HYBRIDE,0.887005649717514,0.03696141747750536,0.8886944095184764,0.887005649717514,0.8809573285232497,8.533333333333333,3.0302181806302695,686.5507596174876,34.914438494330746
parkinsons,HHO-bABER,HYBRIDE,0.8960451977401128,0.041914659866647226,0.8974693119035179,0.8960451977401128,0.890792611108392,10.266666666666667,2.4073960113690385,882.4767067273458,67.36905360116424
parkinsons,BSO-bABER,HYBRIDE,0.8903954802259885,0.02304641588064537,0.8931904713991252,0.8903954802259885,0.8845853672126842,8.333333333333334,1.8135294011647258,670.7044258594512,14.240204444751082
diabetes,PSO,BASE,0.8802308802308804,0.013288155189865893,0.8806820025256328,0.8802308802308804,0.8797182480412108,4.266666666666667,0.8537498983243799,561.7044236977895,2.554977100499236
diabetes,BSO,BASE,0.8802308802308804,0.013288155189865893,0.8806820025256328,0.8802308802308804,0.8797182480412108,4.266666666666667,0.8537498983243799,563.1692649205526,11.785616895337494
diabetes,HHO,BASE,0.8802308802308804,0.013288155189865893,0.8806820025256328,0.8802308802308804,0.8797182480412108,4.266666666666667,0.8537498983243799,814.2167234420776,48.273918622872706
diabetes,bABER,BASE,0.8802308802308804,0.013288155189865893,0.8806820025256328,0.8802308802308804,0.8797182480412108,4.266666666666667,0.8537498983243799,879.2565123081207,10.861816550927568
diabetes,PSO-bABER,HYBRIDE,0.8802308802308804,0.013288155189865893,0.8806820025256328,0.8802308802308804,0.8797182480412108,4.266666666666667,0.8537498983243799,689.1643026351928,16.433961280064104
diabetes,HHO-bABER,HYBRIDE,0.8802308802308804,0.013288155189865893,0.8806820025256328,0.8802308802308804,0.8797182480412108,4.266666666666667,0.8537498983243799,844.7656165917714,41.29134109060141
diabetes,BSO-bABER,HYBRIDE,0.8808080808080808,0.012828923965883319,0.8811270817374414,0.8808080808080808,0.8802721067862224,4.333333333333333,0.7888106377466154,691.383752600352,29.33553552378835
heart,PSO,BASE,0.8074074074074076,0.03337446022538907,0.8124973230237544,0.8074074074074076,0.8060354477090622,7.333333333333333,1.192569587999888,610.328950325648,48.15086781304111
heart,BSO,BASE,0.8140740740740743,0.03661987287202452,0.8168732428364348,0.8140740740740743,0.8130207805957353,8.4,1.2,562.4420675913493,37.069741222956466
heart,HHO,BASE,0.8214814814814816,0.03880237289987791,0.8253539619684129,0.8214814814814816,0.8203376847616286,8.6,0.9521904571390466,776.4477396011353,10.414135521902326
heart,bABER,BASE,0.797777777777778,0.027577052546646344,0.8022563213856024,0.797777777777778,0.7961621476543712,7.8,0.7483314773547882,864.7230650107066,22.881140824340658
heart,PSO-bABER,HYBRIDE,0.8074074074074076,0.03160108001140969,0.8104031592658562,0.8074074074074076,0.8063431941442264,7.6,1.4966629547095764,667.3688975334168,2.987380458973146
heart,HHO-bABER,HYBRIDE,0.8133333333333336,0.03250830852961733,0.8185604292208392,0.8133333333333336,0.8119663664122664,7.933333333333334,0.85374989832438,809.224860827128,15.964531783418531
heart,BSO-bABER,HYBRIDE,0.8200000000000002,0.031997942320674336,0.8240496363801381,0.8200000000000002,0.8190067519785668,8.133333333333333,0.8844332774281066,669.632198746999,14.000822620741943
breast_cancer,PSO,BASE,0.9625730994152046,0.01506912131780716,0.963163580957933,0.9625730994152046,0.962356718025663,11.533333333333333,1.7838784213679537,583.3600859006245,32.86518377862831
breast_cancer,BSO,BASE,0.9586744639376218,0.015903374701264034,0.9593431919147672,0.9586744639376218,0.9584277633600723,12.6,2.0912516188477497,563.3671880404155,16.19081034230012
breast_cancer,HHO,BASE,0.9617933723196881,0.01624379466354749,0.9623288714725214,0.9617933723196881,0.961587342754666,16.533333333333335,3.283629428273267,801.4324447949728,32.518908473824204
breast_cancer,bABER,BASE,0.9610136452241715,0.015348943224194552,0.9616812854241747,0.9610136452241715,0.9607801705360214,12.0,3.32665998663324,912.0488497416178,60.434162408425806
breast_cancer,PSO-bABER,HYBRIDE,0.9571150097465889,0.015788270355802398,0.9576690423023139,0.9571150097465889,0.9568798823040985,12.4,1.3564659966250536,689.0679090658824,30.913960283764034
breast_cancer,HHO-bABER,HYBRIDE,0.9633528265107211,0.016741450724042012,0.9640568658199934,0.9633528265107211,0.9631427344584177,14.666666666666666,2.1186998109427604,811.0899748166402,9.391941539642325
breast_cancer,BSO-bABER,HYBRIDE,0.9582846003898635,0.0149272434456738,0.958672760702066,0.9582846003898635,0.9580408283615325,13.066666666666666,3.2957885584822066,676.3255349795023,16.715658985740443
cervical_cancer,PSO,BASE,0.9485788113695093,0.008891292265677149,0.9459906657209748,0.9485788113695093,0.9465777026810419,13.8,2.6127890589687235,578.1465534051259,18.414123430655174
cervical_cancer,BSO,BASE,0.9496124031007753,0.0072166615213276305,0.9459503882850873,0.9496124031007753,0.9470159647690852,14.8,1.7587874611030558,564.000025510788,3.3984994131467783
cervical_cancer,HHO,BASE,0.9485788113695092,0.009330992292128071,0.9453819823349875,0.9485788113695092,0.9461953944504459,19.466666666666665,3.0081371127142607,854.577882528305,56.71598885265525
cervical_cancer,bABER,BASE,0.9552971576227393,0.007604102826647112,0.9587618887746484,0.9552971576227393,0.9560742267036397,5.866666666666666,5.771962885843563,889.7856556574503,3.5834811021575095
cervical_cancer,PSO-bABER,HYBRIDE,0.9498708010335919,0.009437716985917161,0.9482139965717487,0.9498708010335919,0.9483100340832774,13.8,4.369591895513051,698.8663264274597,15.937756400604988
cervical_cancer,HHO-bABER,HYBRIDE,0.9532299741602069,0.00685607191804735,0.9539744153163813,0.9532299741602069,0.9527028495403698,12.2,7.652450587883596,854.727325407664,42.035215629710265
cervical_cancer,BSO-bABER,HYBRIDE,0.954780361757106,0.008800716468178994,0.9548165563071991,0.954780361757106,0.954258380794377,11.533333333333333,6.438081149604196,689.1745436191559,3.5023956345400338
alzheimers,PSO,BASE,0.9490439276485787,0.006907301063195288,0.9490739623824316,0.9490439276485787,0.948817600785998,11.933333333333334,2.4621580416825846,734.4737151622772,10.491516657754314
alzheimers,BSO,BASE,0.9481136950904392,0.007780138198060498,0.9481897915270859,0.9481136950904392,0.9478288301850175,14.666666666666666,2.2997584414213788,733.2024881998698,7.999072592710499
alzheimers,HHO,BASE,0.9454263565891473,0.0077457339515018785,0.9455849766639957,0.9454263565891473,0.9450662760644672,16.6,1.9595917942265422,1027.6744124730428,16.99560297997661
alzheimers,bABER,BASE,0.9456330749354005,0.009413064657387064,0.9456863435000075,0.9456330749354005,0.9453169092677478,15.2,2.454927018602929,1136.4015134970348,20.60352444754423
alzheimers,PSO-bABER,HYBRIDE,0.9479069767441858,0.009298879637368463,0.9479919414634316,0.9479069767441858,0.9476186891605306,12.133333333333333,2.3055488621054114,898.4793870449066,3.450994453009806
alzheimers,HHO-bABER,HYBRIDE,0.9464599483204132,0.007718100135439568,0.9465754166891465,0.9464599483204132,0.9461436094732959,15.4,2.0912516188477497,1086.2669236977895,18.67012689181793
