Dataset,Rank,Algorithm,Accuracy
parkinsons,1,HHO,0.8994350282485875
parkinsons,2,bABER,0.8971751412429377
parkinsons,3,HHO-bABER,0.8960451977401128
parkinsons,4,BSO-bABER,0.8903954802259885
parkinsons,5,PSO,0.888135593220339
parkinsons,6,BSO,0.887005649717514
parkinsons,7,PSO-bABER,0.887005649717514
diabetes,1,BSO-bABER,0.8808080808080808
diabetes,2,PSO,0.8802308802308804
diabetes,3,BSO,0.8802308802308804
diabetes,4,HHO,0.8802308802308804
diabetes,5,bABER,0.8802308802308804
diabetes,6,PSO-bABER,0.8802308802308804
diabetes,7,HHO-bABER,0.8802308802308804
heart,1,HHO,0.8214814814814816
heart,2,BSO-bABER,0.8200000000000002
heart,3,BSO,0.8140740740740743
heart,4,HHO-bABER,0.8133333333333336
heart,5,PSO,0.8074074074074076
heart,6,PSO-bABER,0.8074074074074076
heart,7,bABER,0.797777777777778
breast_cancer,1,HHO-bABER,0.9633528265107211
breast_cancer,2,PSO,0.9625730994152046
breast_cancer,3,HHO,0.9617933723196881
breast_cancer,4,bABER,0.9610136452241715
breast_cancer,5,BSO,0.9586744639376218
breast_cancer,6,BSO-bABER,0.9582846003898635
breast_cancer,7,PSO-bABER,0.9571150097465889
cervical_cancer,1,bABER,0.9552971576227393
cervical_cancer,2,BSO-bABER,0.954780361757106
cervical_cancer,3,HHO-bABER,0.9532299741602069
cervical_cancer,4,PSO-bABER,0.9498708010335919
cervical_cancer,5,BSO,0.9496124031007753
cervical_cancer,6,PSO,0.9485788113695093
cervical_cancer,7,HHO,0.9485788113695092
alzheimers,1,PSO,0.9490439276485787
alzheimers,2,BSO-bABER,0.9486304909560723
alzheimers,3,BSO,0.9481136950904392
alzheimers,4,PSO-bABER,0.9479069767441858
alzheimers,5,HHO-bABER,0.9464599483204132
alzheimers,6,bABER,0.9456330749354005
alzheimers,7,HHO,0.9454263565891473
